題型,分類,秒數,題目,選項一,選項二,選項三,選項四,正確答案
選擇題,自然1-1～1-2,60,同一天中，下列哪一個時間可以測量到最大的太陽高度角？,上午,中午,下午,晚上,2
選擇題,自然1-1～1-2,60,下列關於晷針影子和太陽的敘述，何者正確？,太陽的方位和晷針影子的方位是一樣的,太陽方位和晷針影子的方位是相反的,太陽高度角愈小，晷針影子愈短,太陽高度角愈大，晷針影子愈長,2
選擇題,自然1-1～1-2,60,觀察下列兩張折線圖，下列哪一個敘述錯誤？,一年之中，太陽高度角由大到小，再由小到大變化,一年之中，氣溫由低到高，再由高到低變化,一年之中，太陽高度角愈大，氣溫也愈高,一年之中，太陽高度角最大在夏季,1
選擇題,自然1-1～1-2,60,觀察下列的天球圖，下列哪一個敘述正確？,一年中，中午的太陽高度角可能會大於 90 度,夏至從上午到下午，太陽高度角會由小到大，再由大到小改變，冬至則相反,每天太陽都會從北方升起，南方落下,春分和秋分的太陽運行軌跡相似,4
選擇題,自然1-1～1-2,60,蘭嶼是臺灣最東邊的小島，在蘭嶼看海上的日出或日落，更有一種忙裡偷閒的愜意感受。下列敘述何者錯誤？,蘭嶼冬至的日出會從西方升起,蘭嶼夏至的日出時刻會比其他三個季節代表日早,蘭嶼春分和秋分的日出時刻會差不多,蘭嶼冬至當天，中午 12 時的太陽高度角會最大,1
選擇題,自然1-1～1-2,60,一天當中，太陽在天空的位置會隨著時間而改變，太陽的移動路線是,東升西落,西升東落,南升北落,北升南落,1
選擇題,自然1-1～1-2,60,下列哪一種工具是利用一天中，陽光下的影子方位與長度有規律性的變化來推斷時間？,沙漏,鐘擺,日晷,太陽能手錶,3
選擇題,自然1-1～1-2,60,不同季節，太陽高度角與氣溫的關係，下列哪一項敘述正確？,6 月的中午 12 時平均太陽高度角最大,1 月的中午 12 時平均太陽高度角最小,氣溫變化與太陽高度角沒有關係,太陽高度角愈大，氣溫愈低,1
選擇題,自然1-1～1-2,60,觀察下列兩張折線圖，下列哪一個敘述錯誤？,一年之中，太陽高度角由大到小，再由小到大變化,一年之中，氣溫由低到高，再由高到低變化,一年之中，太陽高度角愈大，氣溫也愈高,一年之中，太陽高度角最大在夏季,1
選擇題,自然1-1～1-2,60,這一天，怡珍在操場上每隔 1 小時觀測太陽高度角，連續觀測三次，觀測的結果是太陽高度角愈來愈大。她可能是在下列哪一個時段進行觀測？,上午 8 時到上午 10 時,上午 11 時到下午 1 時,下午 2 時到下午 4 時,下午 3 時到下午 5 時,1
選擇題,自然1-1～1-2,60,觀察下列四季太陽高度角折線圖，下列哪一個敘述錯誤？,一天之中，太陽高度角會隨著時間而改變,春分和秋分太陽移動的軌跡完全相同,冬季太陽升起的時刻較晚,四季中午 12 時的太陽高度角都最大,2
選擇題,自然1-1～1-2,60,下列哪一個敘述是正確的？,同一時刻，每個人在陽光下的影子也不一定在相同方位,太陽在東方時，影子也會在東方,太陽和影子會在相反的方位,太陽高度角愈大，影子就會愈長,3
選擇題,自然1-1～1-2,60,根據下方太陽高度角折線圖，下列敘述何者正確？,從日出時刻到中午 12 時，太陽高度角會愈來愈大,太陽高度角最大的時刻是中午 12 時,從中午 12 時到日落時刻，太陽高度角會愈來愈小,以上皆是,4
選擇題,自然1-1～1-2,60,觀測一天中太陽的位置時，不需要記錄下列哪一個項目？,太陽的方位,太陽高度角,風力的大小,觀測的時間,3
選擇題,自然1-1～1-2,60,小倩觀察陽光下，花盆在上午、中午和下午的影子，她的哪一個結論是錯誤的？,方位不同,長度不同,位置不同,形成原因不同,4
選擇題,自然1-1～1-2,60,觀察一年中，同一地點，不同月分，太陽高度角和氣溫的關係，下列何者錯誤？,太陽高度角較大的月分，平均氣溫也會較高,冬天中午 12 時，太陽高度角會比夏天時大,太陽高度角較小的月分，平均氣溫也會較低,不同季節的氣溫變化，和太陽高度角有密切關係,2
選擇題,自然1-1～1-2,60,觀察四個不同的季節代表日中午 12 時的氣溫和太陽高度角，太陽的高度角與氣溫的關係為何？,太陽高度角愈大，氣溫愈高,太陽高度角愈小，氣溫愈高,太陽高度角愈大，氣溫愈低,兩者沒有關係,1
選擇題,自然1-1～1-2,60,根據下方太陽高度角折線圖，下列敘述何者正確？,從日出時刻到中午 12 時，太陽高度角會愈來愈大,太陽高度角最大的時刻是中午 12 時,從中午 12 時到日落時刻，太陽高度角會愈來愈小,以上皆是,4
選擇題,自然1-1～1-2,60,阿哲在一天中的不同時間，在操場上觀測自己影子在陽光照射下的變化，在下列哪一個時間觀測到的影子會最長？,上午 11 時,中午 12 時,下午 2 時,下午 5 時,4
選擇題,自然1-1～1-2,60,一天中，從中午 12 時到下午 4 時，每隔一小時觀測太陽，下列哪一個敘述正確？,太陽高度角愈來愈小,太陽高度角愈來愈大,太陽位置愈來愈高,太陽慢慢往東方移動,1
選擇題,自然1-1～1-2,60,比較不同季節中午 12 時的太陽高度角，從春分到冬至的變化可能為下列何者？,66 度→ 90 度→ 66 度→ 43 度,66 度→ 43 度→ 66 度→ 90 度,43 度→ 66 度→ 90 度→ 66 度,90 度→ 66 度→ 43 度→ 66 度,1
選擇題,自然1-1～1-2,60,下列分別是四季中午 12 時的平均太陽高度角，哪一個太陽高度角時的氣溫最高？,43 度,49 度,67 度,90 度,4
選擇題,自然1-1～1-2,60,關於日晷，下列哪一個敘述正確？,可透過影子的方位判斷太陽的方位,能精確知道當時的時刻,晷針影子愈長，表示太陽高度角愈大,同一天中，晷針的影子不會有明顯變化,1
選擇題,自然1-1～1-2,60,同一天中，下列哪一個時刻最適合利用太陽來玩影子遊戲？,凌晨 4 時,中午 12 時,下午 3 時,晚上 8 時,3
選擇題,自然1-1～1-2,60,在太陽高度角折線圖中，表示一天中太陽高度角的折線會如何變化？,一直上升,一直下降,先上升再下降,先下降再上升,3
選擇題,自然1-1～1-2,60,同一天中，下列哪一個時刻可以讓溼衣服上的水最快蒸發？,上午 9 時,中午 12 時,下午 3 時,傍晚 6 時,2
選擇題,自然1-1～1-2,60,觀察下列四季太陽高度角折線圖，無法得知哪一件事？,春分和秋分的太陽運行軌跡相似,夏至中午的太陽高度角最大,太陽從東方升起，西方落下,每天上午太陽的高度角會愈來愈大,3
選擇題,自然1-1～1-2,60,冬至那一天，從早到晚，太陽高度角是如何變化的？,由大到小,由小到大,由大到小，再由小到大,由小到大，再由大到小,4
是非題,自然1-1～1-2,60,一天中，太陽在天空中移動的軌跡，呈現什麼形狀？,O,X,,,1
選擇題,自然1-1～1-2,60,不同季節，太陽高度角與氣溫的關係，下列哪一項敘述正確？,6 月的中午 12 時平均太陽高度角最大,1 月的中午 12 時平均太陽高度角最小,氣溫變化與太陽高度角沒有關係,太陽高度角愈大，氣溫愈低,1
選擇題,自然1-1～1-2,60,觀察下列的天球圖，比較不同季節的太陽高度角變化，下列哪一個敘述正確？,從春分到夏至，中午 12 時太陽高度角會愈來愈小,從夏至到秋分，同一地點的日出位置會往北移動,從秋分到冬至，中午 12 時太陽高度角會愈來愈小,從冬至到隔年春分，同一地點的日出位置會往南移動,3
選擇題,自然1-1～1-2,60,利用方位盤、吸管與底座、棉線、量角器、指北針，來測量太陽高度角和影子長短的關係，請問：穿過吸管拉長出來的棉線有何作用呢？,能將吸管固定的更牢靠使實驗正確成功,拉緊棉線可以清楚標示吸管頂端到其影子末端與地面形成的夾角，方便測量太陽高度角,能固定量角器好量測太陽高度角,能避免方位盤滑動而使太陽高度角的量測失敗,2
選擇題,自然1-1～1-2,60,下列哪一個描述太陽位置的敘述最清楚？,太陽在兩棟大樓中間的天空中,太陽在我的右邊，太陽高度角約 40 度的天空中,太陽在東方偏南，太陽高度角約 40 度的天空中,太陽位於大樹的西北方上空,3
選擇題,自然1-1～1-2,60,仁翔觀測太陽位置時，發現太陽在西方、太陽高度角約 50 度的天空中，此時仁翔可以在哪一個方位找到自己的影子？,東方,西方,南方,北方,1
選擇題,自然1-1～1-2,60,阿光在太陽觀測紀錄表上寫下影子的方位是西北方，由此可知太陽位於,東北方,西北方,東南方,西南方,3
選擇題,自然1-1～1-2,60,一年之中，在相同時刻測量太陽高度角，下列哪一個季節代表日的太陽高度角最小？,春分,夏至,秋分,冬至,4
選擇題,自然1-1～1-2,60,觀察下列四季太陽高度角折線圖，下列哪一個敘述錯誤？,一天之中，太陽高度角會隨著時間而改變,春分和秋分太陽移動的軌跡完全相同,冬季太陽升起的時刻較晚,中午 12 時的太陽高度角最大,2
選擇題,自然1-1～1-2,60,同一天中，上午 9 時的太陽高度角是 45 度，上午 8 時的太陽高度角可能是幾度？,31 度,45 度,48 度,50 度,1
選擇題,自然1-1～1-2,60,小雅在晴朗的天氣觀察植物葉片的形狀，觀察結束後，她發現自己的影子正好在她的腳下方，再看看旁邊大樹的樹蔭也是在樹下，如下圖所示，依以上線索可以推測小雅觀察葉片的時間大約是,上午 8 時,中午 12 時,下午 4 時,下午 8 時,2
選擇題,自然1-1～1-2,60,下列哪一種說法，可以最清楚的描述太陽在天空中的位置？,太陽在101 大樓右邊的天空中,太陽在東南方的天空中,太陽在我的左邊，太陽高度角約 40 度的天空中,太陽在東南方，太陽高度角約 40 度的天空中,4
選擇題,自然1-1～1-2,60,仕勳想去阿里山看日出，假設下列日期都可看到日出，挑選下列哪一天能夠最晚起床？,3 月 20 日,6 月 21 日,9 月 22 號,12 月 23 日,4
選擇題,自然1-1～1-2,60,阿智在一天中分別測得的太陽高度角如下，哪一個太陽高度角測得的竿影最長？,32 度,45 度,65 度,78 度,1
選擇題,自然1-1～1-2,60,同一天中，如果上午 11 時測得的太陽高度角是 63 度，中午 12 時的太陽高度角可能是幾度？,68 度,60 度,54 度,29 度,1
選擇題,自然1-1～1-2,60,在耶誕節當天的不同時刻觀測同一棵樹的影子，可能會發現何時影子的長度最短？,上午 10 時,中午 12 時,下午 2 時,下午 4 時,2
選擇題,自然1-1～1-2,60,利用竿影測量太陽高度角時，竿子與地面要保持,垂直,平行,60 度,45 度,1
選擇題,自然1-1～1-2,60,下列哪一個敘述錯誤？,一天之中，太陽會東升西落,大多時候，中午的太陽會偏向南方,一天之中，同一地點，太陽的高度角會由小到大，再由大到小,一天之中，在相同地點觀測，會發現太陽升起和落下的位置相同,4
選擇題,自然1-1～1-2,60,觀察下列的折線圖，兩條相近的運行路線應該是哪兩個季節代表日？,春分、秋分,夏至、冬至,春分、夏至,秋分、冬至,1
選擇題,自然1-1～1-2,60,小丸子看到大樹影子出現在西北方，此時可能是下列哪一個時間？,下午 8 時,下午 3 時,中午 12 時,上午 9 時,4
選擇題,自然1-1～1-2,60,小岑觀測太陽位置，當太陽在西方、太陽高度角為 50 度的位置時，測得竿影長度為 20 公分，一小時後，竿影的長度可能為下列哪一個？,16 公分,18 公分,20 公分,22 公分,4
選擇題,自然1-1～1-2,60,下列哪一個節日中午 12 時所測得的太陽高度角會最大？,除夕,中秋節,端午節,清明節,3
選擇題,自然1-1～1-2,60,某天出遊時，茹頻發現自己的影子在東北方，表示當時應該是在哪一個時段？,上午,下午,晚上,無法判斷,2
選擇題,自然1-1～1-2,60,關於不同季節同一時間的影子長度變化，下列敘述何者正確？,不同季節太陽的形狀，會影響影子的長短,夏至到冬至時，太陽高度角逐漸變小，影子也逐漸變短,不同季節，同一時刻的影子長度都相同,不同季節的太陽高度角不太相同，因此影子也有長短變化,4
選擇題,自然1-1～1-2,60,關於太陽在天空中的位置，下列哪一個紀錄不正確？,東方，太陽高度角 28 度,西南方，太陽高度角 52 度,南方，太陽高度角 89 度,西方，太陽高度角 102 度,4
選擇題,自然1-1～1-2,60,夏菲到臺東 關山看夕陽，當她面對夕陽時，影子應該會出現在,北方,南方,東方,西方,3
選擇題,自然1-1～1-2,60,一年中，從 7 月到 12 月之間，同一時刻的太陽高度角會有怎樣的變化？,變大再變小,逐漸變大,逐漸變小,沒有變化,3
選擇題,自然1-1～1-2,60,欣怡每天中午 12 時會觀測紀錄太陽高度角，觀測半年後欣怡會發現下列哪一天中午的太陽高度角最大？,元旦,西洋情人節,兒童節,母親節,4
選擇題,自然1-1～1-2,60,關於日晷的描述，下列何者是錯誤的？,它是透過太陽的圓缺變化來判斷日期,是一種計時工具,若是陰天，就無法用來計時,無法精準顯示出時間,1
選擇題,自然1-1～1-2,60,下列關於太陽的敘述，哪一個是正確的？,每天都從正東方升起，正西方落下,夏天上午 10 時測得的竿影比冬天上午 10 時測得的竿影短,不同季節的同一時刻，太陽高度角會相同,以上都正確,2
選擇題,自然1-1～1-2,60,下列哪一個可能是夏天比其他季節還要熱的原因？,太陽比較大,太陽比較近,太陽高度角比較大,日出比較晚,3
選擇題,自然1-1～1-2,60,自己製作太陽高度角觀測器時，通常不需要準備下列哪一個物品？,吸管,量角器,棉線,磁鐵,4
選擇題,自然1-1～1-2,60,在不同季節的上午 9 時，路燈的影子哪一個時候最長？,春分時,夏至時,秋分時,冬至時,4
選擇題,自然1-1～1-2,60,一年之中，下列哪一天的中午 12 時竿影會最短？,春分,夏至,秋分,冬至,2
選擇題,自然1-1～1-2,60,小揚在 9 月 23 日上午 11 時測得的太陽高度角為 63 度，三個月後同一時間的太陽高度角，可能是幾度？,70 度,68 度,63 度,39 度,4
選擇題,自然1-1～1-2,60,關於日晷，哪一個敘述是錯誤的？,只能用來測量太陽高度角,一天中，晷針的影子會有長短變化,一天中，晷針的影子方位會由西向東移動,無法用日晷推斷晚上的時刻,1
選擇題,自然1-1～1-2,60,文娟某天下午，在相同地點、不同時刻觀測太陽高度角，並依序記錄了 3 組數據，分別為 50 度、60 度和 85 度，她的測量結果是否正確？,正確，一天中太陽高度角會愈來愈大,正確，一天中太陽會由東向西移動,不正確，下午太陽高度角會愈來愈小,不正確，下午太陽會由西向東移動,3
選擇題,自然1-1～1-2,60,觀察下列四季太陽觀測資料表，無法得知哪一件事？,夏季太陽升起的時刻較早,每天太陽移動的軌跡都是半球形,太陽高度角愈大，氣溫也會愈高,同一地點，不同季節，太陽升起的位置會不太相同,3
選擇題,自然1-1～1-2,60,同一天中，下列哪一個時刻陽光照射在日晷所形成的晷針影子長度最長？,中午 12 時,下午 3 時,下午 5 時,晚上 9 時,3
選擇題,自然1-1～1-2,60,觀察下列某年的四季太陽觀測資料表，無法得知哪一件事？,夏季太陽升起的時刻較早,每天太陽移動的軌跡都是半球形,太陽高度角愈大，氣溫也會愈高,同一地點，不同季節，太陽升起的位置會不太相同,3
選擇題,自然1-1～1-2,60,根據下列某一年的太陽觀測紀錄表，哪一個敘述正確？,夏至時太陽從西偏南方升起,每天中午 12 時，太陽大多位在南方,冬至的太陽高度角在中午時最小,每天 6 時到 18 時，太陽高度角會愈來愈小,2
選擇題,自然1-1～1-2,60,下列哪一個敘述是錯誤的？,當太陽高度角愈小，影子會愈長,同一時刻，每個人在陽光下的影子會在相同方位,一天之中，從上午到下午，陽光下影子長度會由長變短,太陽的方位與影子的方位相反,3
選擇題,自然1-1～1-2,60,觀察下列四季太陽高度角折線圖，無法得知哪一件事？,春分、秋分太陽移動的軌跡比較相似,夏至中午的太陽高度角最大,太陽從東方升起，西方落下,每天上午的太陽高度角會愈來愈大,3
選擇題,自然1-1～1-2,60,小嵐、名益和詠婷三人在同一天、不同時間測量同一根竿子的影子長度，所得到的結果是小嵐＞詠婷＞名益，三人中，誰測量的時間可能較接近中午時刻？,小嵐,名益,詠婷,無法得知,2
選擇題,自然1-1～1-2,60,觀察下列的天球圖，不能得到哪一個結論？,太陽從東方升起，西方落下,一年中大多時候太陽的位置都偏向南方,太陽在夏季時升起的時刻較早，冬季時升起的時刻較晚,夏季時的太陽高度角較大，冬季時的太陽高度角較小,3
選擇題,自然1-1～1-2,60,上午 10 時，陽光下影子出現的方位和下列哪一個有關？,氣溫,太陽高度角,太陽的方位,物品的大小,3
選擇題,自然1-1～1-2,60,比較不同季節中午 12 時的太陽高度角，從春分到冬至的變化為何？,由大到小,由小到大,由大到小，再由小到大,由小到大，再由大到小,4
選擇題,自然1-1～1-2,60,一天之中，竿影出現在東北方，此時的時刻可能是哪一個時段？,上午,中午,下午,晚上,3
選擇題,自然1-1～1-2,60,根據下列太陽觀測紀錄表，哪一個敘述正確？,夏至時太陽從東偏南方升起,每天中午 12 時，太陽都位在南方,冬至的太陽高度角在中午時最小,每天 6 時到 18 時，太陽高度角會愈來愈小,2
選擇題,自然1-1～1-2,60,陽光下，籃球架的影子位於東北方，同一時間柯瑞帶著球從籃球場南方跑向北方時，柯瑞的影子方位會如何變化？,一直在東北方,一直在西南方,從北方逐漸往南方移動,無法判斷,1
選擇題,自然1-1～1-2,60,一天之中，婷婷面對著大樹觀察樹影，發現樹影會從婷婷的右邊移動到左邊，婷婷面對的方向為,東方,西方,南方,北方,3
